sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
BAM-FB-Round01,2120,52,18,34,2,1,8,3,1,5
BAM-FB-Round02,3604,91,6,85,0,1,13,3,0,0
BAM-FB-Round03,1510,72,26,46,16,1,17,3,3,14
BAM01-01,42482,36897,34926,1971,32172,1,773,3,182,12528
BAM01-02,231438,193436,178828,14608,166732,1,3032,3,738,41529
BAM01-03,480068,413113,382194,30919,377860,1,1125,3,413,213919
BAM01-04,303968,272074,257916,14158,257518,1,959,3,366,137309
BAM01-05,239624,206834,194302,12532,186536,1,2090,3,732,84404
BAM01-06,593326,518916,483758,35158,477306,1,2328,3,721,246912
BAM01-07,140422,124658,118712,5946,114876,1,1707,3,497,50498
BAM01-08,36792,32930,31092,1838,30680,1,487,3,96,16401
BAM01-09,163128,145496,138028,7468,131182,1,1583,3,557,64587
BAM01-10,132778,118303,112798,5505,108382,1,1522,3,406,54663
BAM01-CB,1662,36,12,24,2,1,5,3,0,0
BAM02-01,250250,222408,210422,11986,206232,1,1976,3,672,102741
BAM02-02,143804,124376,116930,7446,111862,1,2370,3,645,46738
BAM02-03,297372,256426,239888,16538,232706,1,3260,3,993,106910
BAM02-04,271036,241341,228060,13281,220182,1,2360,3,761,110633
BAM02-05,87494,75048,71156,3892,69098,1,1149,3,310,34335
BAM02-06,83338,66147,62902,3245,61332,1,1037,3,281,30670
BAM02-07,58674,47894,45488,2406,44738,1,770,3,180,22775
BAM02-08,95916,84292,79452,4840,76884,1,1383,3,344,33372
BAM02-09,236344,214345,206038,8307,204572,1,1689,3,541,103000
BAM02-10,132440,116860,111802,5058,110718,1,1258,3,417,56653
BAM02-CB,3232,91,26,65,20,1,30,3,1,11
D01-THL01-01,74304,57648,53228,4420,43938,1,1792,3,479,15297
D01-THL01-02,307252,253771,235802,17969,196336,1,7387,3,1791,72843
D01-THL01-03,59152,37156,34028,3128,28724,1,1560,3,404,11327
D01-THL01-04,143098,111503,102914,8589,82046,1,3735,3,1002,27818
D01-THL01-05,137922,102449,94224,8225,71814,1,4065,3,1129,25390
D01-THL01-06,291146,239423,222046,17377,174994,1,5463,3,1217,65507
D01-THL01-07,122218,93770,88014,5756,73400,1,2616,3,625,28583
D01-THL01-08,199884,158139,146552,11587,122668,1,3285,3,745,44752
D01-THL01-09,148122,120518,111696,8822,89132,1,3175,3,699,41794
D01-THL01-10,84786,58974,54638,4336,47114,1,2005,3,471,18069
D01-THL02-01,60716,48133,44164,3969,32066,1,1257,3,317,12714
D01-THL02-02,47704,36412,34132,2280,29168,1,787,3,171,12326
D01-THL02-03,53886,38432,35756,2676,32068,1,918,3,242,13470
D01-THL02-04,548850,486147,460224,25923,451744,1,2384,3,765,231102
D01-THL02-05,29442,24591,23316,1275,22346,1,339,3,90,11354
D01-THL02-06,11926,8533,8040,493,7610,1,235,3,31,3205
D01-THL02-07,99374,84009,78904,5105,73856,1,1038,3,329,35519
D01-THL02-08,304442,263090,246452,16638,230296,1,2032,3,599,113650
D01-THL02-09,170952,147249,138872,8377,123156,1,1888,3,600,53728
D01-THL02-10,732,641,616,25,558,1,88,3,8,201
D02-THL01-01,431622,383889,364470,19419,339568,1,4020,3,1031,173843
D02-THL01-02,355946,310383,292564,17819,273262,1,3543,3,894,128795
D02-THL01-03,154848,133819,126648,7171,120790,1,1903,3,613,60131
D02-THL01-04,324362,290443,276944,13499,267100,1,2318,3,658,137195
D02-THL01-05,194020,173866,165950,7916,160938,1,1400,3,477,80586
D02-THL01-06,237930,208597,198486,10111,188638,1,1951,3,582,90438
D02-THL01-07,472946,414497,392456,22041,358148,1,5021,3,1271,172428
D02-THL01-08,271242,238984,226670,12314,201862,1,3373,3,622,103056
D02-THL01-09,218114,189483,179252,10231,164954,1,3251,3,864,79200
D02-THL01-10,388126,339877,321762,18115,298870,1,3602,3,1010,134680
D02-THL02-01,996,871,828,43,800,1,43,3,5,378
D02-THL02-02,500910,446622,425240,21382,375988,1,2499,3,753,209713
D02-THL02-03,36244,27751,26264,1487,25142,1,401,3,115,12502
D02-THL02-04,21354,18898,18050,848,17674,1,362,3,85,8249
D02-THL02-05,42628,37624,35776,1848,34784,1,332,3,124,17799
D02-THL02-06,396478,353005,334826,18179,318140,1,1816,3,603,154731
D02-THL02-07,211020,191197,182270,8927,178238,1,881,3,344,89214
D02-THL02-08,202228,174734,164660,10074,149242,1,1659,3,577,71431
D02-THL02-09,41620,21998,20666,1332,18518,1,583,3,138,8146
D02-THL02-10,266,184,176,8,156,1,29,3,1,45
D03-THL01-01,463954,417463,397974,19489,380830,1,2557,3,743,191870
D03-THL01-02,344226,307076,291928,15148,286270,1,1482,3,481,144880
D03-THL01-03,313210,277304,263504,13800,250914,1,2232,3,559,121635
D03-THL01-04,73858,65144,61994,3150,60572,1,729,3,248,29577
D03-THL01-05,240684,214593,203746,10847,198992,1,1403,3,451,99053
D03-THL01-06,268292,238661,227056,11605,218572,1,1897,3,538,110998
D03-THL01-07,319884,285890,272274,13616,263726,1,1824,3,578,131584
D03-THL01-08,168664,145566,137398,8168,127520,1,1784,3,567,59999
D03-THL01-09,40578,35620,33820,1800,32252,1,596,3,169,14575
D03-THL01-10,202868,181852,173152,8700,167822,1,1330,3,406,85036
D03-THL02-01,179372,157610,148702,8908,139994,1,1610,3,524,71455
D03-THL02-02,352724,308047,290472,17575,268642,1,3051,3,794,120732
D03-THL02-03,45516,39381,36990,2391,33894,1,600,3,161,18711
D03-THL02-04,216468,190940,180132,10808,170686,1,1333,3,420,89414
D03-THL02-05,174672,155779,147938,7841,145658,1,887,3,317,77205
D03-THL02-06,148780,132287,125138,7149,122330,1,730,3,289,65392
D03-THL02-07,212700,191190,182850,8340,176600,1,1077,3,390,90906
D03-THL02-08,38,33,32,1,30,1,4,3,2,13
D03-THL02-09,168008,149238,141084,8154,135724,1,1326,3,433,70676
D03-THL02-10,175126,153005,144426,8579,129422,1,1341,3,406,64783
D04-THL01-01,339842,292871,274166,18705,258608,1,3514,3,879,123420
D04-THL01-02,202498,180142,171652,8490,161836,1,1930,3,551,83373
D04-THL01-03,219408,187376,176336,11040,160230,1,2914,3,775,81254
D04-THL01-04,563626,495926,469314,26612,441084,1,4891,3,1360,223256
D04-THL01-05,122042,107986,102688,5298,101452,1,791,3,283,53590
D04-THL01-06,66736,56419,53556,2863,51872,1,820,3,274,26831
D04-THL01-07,207528,184085,174236,9849,169124,1,1167,3,416,90821
D04-THL01-08,374688,324308,304764,19544,284990,1,3489,3,873,147843
D04-THL01-09,322892,288784,275166,13618,262390,1,2517,3,678,134781
D04-THL01-10,310936,276684,264298,12386,241162,1,3828,3,877,119999
D04-THL02-01,302,259,240,19,230,1,12,3,2,119
D04-THL02-02,133840,117922,111874,6048,106258,1,1327,3,375,51848
D04-THL02-03,70738,62914,60156,2758,58692,1,500,3,199,30677
D04-THL02-04,602,527,492,35,486,1,31,3,2,235
D04-THL02-05,159254,144643,138896,5747,134242,1,769,3,295,69276
D04-THL02-06,147306,131031,125114,5917,121960,1,771,3,305,63190
D04-THL02-07,279206,250616,238812,11804,225078,1,1387,3,450,116570
D04-THL02-08,265136,240817,230422,10395,226318,1,1103,3,338,115750
D04-THL02-09,107690,93815,89382,4433,73670,1,880,3,318,35795
D04-THL02-10,256876,229466,218590,10876,214182,1,1419,3,462,112418
D05-THL01-01,172620,153993,147386,6607,145104,1,916,3,350,76024
D05-THL01-02,263856,232570,221608,10962,199982,1,3473,3,785,100526
D05-THL01-03,87628,71891,68556,3335,66714,1,947,3,307,32828
D05-THL01-04,576840,524153,501656,22497,493522,1,2193,3,658,256989
D05-THL01-05,176622,157893,150626,7267,147190,1,1481,3,441,74709
D05-THL01-06,376102,335744,320110,15634,306980,1,2703,3,706,133019
D05-THL01-07,266742,240180,229374,10806,221514,1,2255,3,586,105916
