SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
BAM01-01	12S	SRR7986518	SAMN10195928	PRJNA495011
BAM01-02	12S	SRR7986519	SAMN10195929	PRJNA495011
BAM01-03	12S	SRR7986516	SAMN10195930	PRJNA495011
BAM01-04	12S	SRR7986517	SAMN10195931	PRJNA495011
BAM01-05	12S	SRR7986709	SAMN10195932	PRJNA495011
BAM01-06	12S	SRR7986523	SAMN10195933	PRJNA495011
BAM01-07	12S	SRR7986520	SAMN10195934	PRJNA495011
BAM01-08	12S	SRR7986521	SAMN10195935	PRJNA495011
BAM01-09	12S	SRR7986542	SAMN10195936	PRJNA495011
BAM01-10	12S	SRR7986643	SAMN10195937	PRJNA495011
BAM01-CB	12S	SRR7986746	SAMN10195938	PRJNA495011
BAM02-01	12S	SRR7986747	SAMN10195939	PRJNA495011
BAM02-02	12S	SRR7986744	SAMN10195940	PRJNA495011
BAM02-03	12S	SRR7986745	SAMN10195941	PRJNA495011
BAM02-04	12S	SRR7986751	SAMN10195942	PRJNA495011
BAM02-05	12S	SRR7986752	SAMN10195943	PRJNA495011
BAM02-06	12S	SRR7986748	SAMN10195944	PRJNA495011
BAM02-07	12S	SRR7986749	SAMN10195945	PRJNA495011
BAM02-08	12S	SRR7986741	SAMN10195946	PRJNA495011
BAM02-09	12S	SRR7986742	SAMN10195947	PRJNA495011
BAM02-10	12S	SRR7986546	SAMN10195948	PRJNA495011
BAM02-CB	12S	SRR7986545	SAMN10195949	PRJNA495011
BAM-FB-Round01	12S	SRR7986544	SAMN10195950	PRJNA495011
BAM-FB-Round02	12S	SRR7986543	SAMN10195951	PRJNA495011
BAM-FB-Round03	12S	SRR7986550	SAMN10195952	PRJNA495011
D01-THL01-01	12S	SRR7986549	SAMN10195953	PRJNA495011
D01-THL01-02	12S	SRR7986548	SAMN10195954	PRJNA495011
D01-THL01-03	12S	SRR7986547	SAMN10195955	PRJNA495011
D01-THL01-04	12S	SRR7986552	SAMN10195956	PRJNA495011
D01-THL01-05	12S	SRR7986551	SAMN10195957	PRJNA495011
